column,missing_count,missing_pct,leading_nan_run_h,trailing_nan_run_h,internal_nan_count,max_internal_gap_h,first_missing_ts,last_missing_ts,refined_missing_count,inherited_vs_introduced,likely_cause
da_spread_de_nl_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
grid_stress_index_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
is_activated_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
mfrr_active_lag_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
mfrr_mari_net_mw_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
nrv_quantile_5_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
nrv_zscore_24h_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Rolling/statistical warmup window introduces head NaNs
renewable_share_forecast_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
residual_load_forecast_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
solar_error_da_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
solar_forecast_id_entsoe_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
solar_forecast_update_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
system_stress_signal_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_forecast_update_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_offshore_forecast_id_entsoe_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_onshore_error_da_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_onshore_forecast_id_entsoe_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_onshore_forecast_update_lag_24h,22,0.04781673150905258,22,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 22:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
da_price_BE,20,0.043469755917320524,0,0,20,20,2025-09-30 02:00:00+00:00,2025-09-30 21:00:00+00:00,24.0,"inherited=20, introduced=0",Unexpected for DA price; check ingestion alignment
wind_total_error_da_lag_12h,13,0.02825534134625834,10,0,3,1,2020-11-30 01:00:00+00:00,2025-10-26 10:00:00+00:00,,,Inherited source gap(s) inside series
NRV_balance_lag_12h,11,0.02390836575452629,11,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 11:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activated_mw_neg_lag_12h,11,0.02390836575452629,11,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 11:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activated_mw_pos_lag_12h,11,0.02390836575452629,11,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 11:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_activated_mw_neg_lag_12h,11,0.02390836575452629,11,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 11:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_activated_mw_pos_lag_12h,11,0.02390836575452629,11,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 11:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activation_price_vwap_neg_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_activation_price_vwap_pos_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_activation_rate_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_da_price_spread_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
da_price_pit_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Unexpected for DA price; check ingestion alignment
