date,model,quantile,model_daily_profit_eur,benchmark_daily_profit_eur,realized_model_profit_eur,benchmark_profit_eur,daily_regret_eur,DA_profit_eur,ID_profit_eur,BCM_profit_eur,BEM_profit_eur,penalties_eur,tail_event_flag,activation_surprise_flag,infeasibility_flag,cumulative_model_profit_eur,cumulative_benchmark_profit_eur,cumulative_regret_eur
2025-05-31,RLQR,p10,-1.5426000000000002,0.0,-1.5426000000000002,0.0,1.5426000000000002,0.0,0.0,0.0,0.0,0.0,False,False,False,-1.5426000000000002,0.0,1.5426000000000002
2025-06-01,RLQR,p10,1412.5639860612346,0.0,1412.5639860612346,0.0,-1412.5639860612346,0.0,0.0,52.44693997661736,1405.8738519170795,0.0,False,False,False,1411.0213860612346,0.0,-1411.0213860612346
2025-06-02,RLQR,p10,4250.352388172617,0.0,4250.352388172617,0.0,-4250.352388172617,-176.06400000000002,0.0,2996.100760402324,1572.8985635369056,0.0,False,False,False,5661.373774233852,0.0,-5661.373774233852
2025-06-03,RLQR,p10,2278.0208790904644,0.0,2278.0208790904644,0.0,-2278.0208790904644,-189.79,0.0,1964.2195568499465,744.337994023237,0.0,False,False,True,7939.394653324316,0.0,-7939.394653324316
2025-06-04,RLQR,p10,1326.277999777114,0.0,1326.277999777114,0.0,-1326.277999777114,610.1020000000001,0.0,1051.8842204889067,22.691125405994804,0.0,False,False,True,9265.67265310143,0.0,-9265.67265310143
2025-06-05,RLQR,p10,874.0475799214217,0.0,874.0475799214217,0.0,-874.0475799214217,0.0,0.0,767.0074664560794,175.59152195034554,0.0,False,False,False,10139.720233022852,0.0,-10139.720233022852
2025-06-06,RLQR,p10,1553.8987243011293,0.0,1553.8987243011293,0.0,-1553.8987243011293,477.509,0.0,1248.4049109465836,24.686707930296254,0.0,False,False,True,11693.61895732398,0.0,-11693.61895732398
2025-06-07,RLQR,p10,532.590439798855,0.0,532.590439798855,0.0,-532.590439798855,-436.248,0.0,1187.0237934360505,23.486556329513228,0.0,False,False,False,12226.209397122835,0.0,-12226.209397122835
2025-06-08,RLQR,p10,5.2556527102184445,0.0,5.2556527102184445,0.0,-5.2556527102184445,0.0,0.0,0.0,11.355577763981886,0.0,False,False,False,12231.465049833054,0.0,-12231.465049833054
2025-06-09,RLQR,p10,1305.838036210217,0.0,1305.838036210217,0.0,-1305.838036210217,83.05000000000001,0.0,1339.1173113084703,0.0,0.0,False,False,False,13537.30308604327,0.0,-13537.30308604327
2025-06-10,RLQR,p10,-94.10263739108296,0.0,-94.10263739108296,0.0,94.10263739108296,57.03663636244505,0.0,52.75953320649311,12.197520344475048,0.0,False,False,True,13443.200448652187,0.0,-13443.200448652187
2025-06-11,RLQR,p10,558.0313248894389,0.0,558.0313248894389,0.0,-558.0313248894389,0.0,0.0,603.4848269261746,0.0,0.0,False,False,True,14001.231773541625,0.0,-14001.231773541625
2025-06-12,RLQR,p10,1076.911784527878,0.0,1076.911784527878,0.0,-1076.911784527878,254.109,0.0,0.0,1115.6896204676168,0.0,False,False,False,15078.143558069503,0.0,-15078.143558069503
2025-06-13,RLQR,p10,435.9015527533221,0.0,435.9015527533221,0.0,-435.9015527533221,-56.96000000000001,0.0,0.0,545.730895911979,0.0,False,False,False,15514.045110822826,0.0,-15514.045110822826
2025-06-14,RLQR,p10,-357.7412620986516,0.0,-357.7412620986516,0.0,357.7412620986516,-39.958,0.0,0.0,95.06754860887932,0.0,False,False,True,15156.303848724174,0.0,-15156.303848724174
2025-06-15,RLQR,p10,1074.1036896753287,0.0,1074.1036896753287,0.0,-1074.1036896753287,1054.8,0.0,480.11071162486326,19.34764382489739,0.0,False,False,True,16230.407538399502,0.0,-16230.407538399502
2025-06-16,RLQR,p10,1697.8420719160686,0.0,1697.8420719160686,0.0,-1697.8420719160686,222.62724961652515,0.0,1584.55602921648,0.0,0.0,False,False,True,17928.24961031557,0.0,-17928.24961031557
2025-06-17,RLQR,p10,1.645132255084377,0.0,1.645132255084377,0.0,-1.645132255084377,0.0,0.0,0.0,56.21360932170107,0.0,False,False,True,17929.894742570657,0.0,-17929.894742570657
2025-06-18,RLQR,p10,2566.4011835447404,0.0,2566.4011835447404,0.0,-2566.4011835447404,519.6650000000001,0.0,2255.198880294598,5.771160809920406,0.0,False,False,True,20496.2959261154,0.0,-20496.2959261154
2025-06-19,RLQR,p10,2164.3322422036836,0.0,2164.3322422036836,0.0,-2164.3322422036836,232.455,0.0,16.18164614692505,2080.513649844761,0.0,False,False,True,22660.628168319083,0.0,-22660.628168319083
2025-06-20,RLQR,p10,2426.5708573431743,0.0,2426.5708573431743,0.0,-2426.5708573431743,0.0,0.0,2500.239372371123,3.356514073622156,0.0,False,False,True,25087.199025662256,0.0,-25087.199025662256
2025-06-21,RLQR,p10,1817.0664331376904,0.0,1817.0664331376904,0.0,-1817.0664331376904,84.295,0.0,1707.336399340583,187.23672104899669,0.0,False,False,True,26904.265458799946,0.0,-26904.265458799946
2025-06-22,RLQR,p10,618.6967174614281,0.0,618.6967174614281,0.0,-618.6967174614281,0.0,0.0,635.0274671422783,0.0,0.0,False,False,True,27522.962176261375,0.0,-27522.962176261375
2025-06-23,RLQR,p10,-3.103959578704835,0.0,-3.103959578704835,0.0,3.103959578704835,0.0,0.0,22.822740421295165,0.0,0.0,False,False,True,27519.85821668267,0.0,-27519.85821668267
2025-06-24,RLQR,p10,3645.621523866703,0.0,3645.621523866703,0.0,-3645.621523866703,0.0,0.0,3672.890901886221,0.0,0.0,False,False,True,31165.479740549374,0.0,-31165.479740549374
2025-06-25,RLQR,p10,713.1822404200312,0.0,713.1822404200312,0.0,-713.1822404200312,616.797,0.0,0.0,357.58243536364785,0.0,False,False,True,31878.661980969406,0.0,-31878.661980969406
2025-06-26,RLQR,p10,3551.0227486282774,0.0,3551.0227486282774,0.0,-3551.0227486282774,0.0,0.0,3631.923196169985,6.192896489549833,0.0,False,False,False,35429.684729597684,0.0,-35429.684729597684
2025-06-27,RLQR,p10,630.9363663769506,0.0,630.9363663769506,0.0,-630.9363663769506,0.0,0.0,700.1585374850797,0.0,0.0,False,False,False,36060.62109597463,0.0,-36060.62109597463
2025-06-28,RLQR,p10,2586.2434085601035,0.0,2586.2434085601035,0.0,-2586.2434085601035,0.0,0.0,2594.430002957464,40.506365599665045,0.0,False,False,False,38646.86450453474,0.0,-38646.86450453474
2025-06-29,RLQR,p10,987.9849938389864,0.0,987.9849938389864,0.0,-987.9849938389864,0.0,0.0,1024.5075935180482,0.0,0.0,False,False,True,39634.849498373726,0.0,-39634.849498373726
2025-06-30,RLQR,p10,4288.0316565929215,0.0,4288.0316565929215,0.0,-4288.0316565929215,0.0,0.0,4363.358379814701,0.0,0.0,False,False,True,43922.88115496665,0.0,-43922.88115496665
2025-07-01,RLQR,p10,-18.41982550533078,0.0,-18.41982550533078,0.0,18.41982550533078,0.0,0.0,0.0,52.347971637281894,0.0,False,False,True,43904.461329461315,0.0,-43904.461329461315
2025-07-02,RLQR,p10,1825.6336403249209,0.0,1825.6336403249209,0.0,-1825.6336403249209,72.92518970297738,0.0,1974.5437583630992,0.0,0.0,False,False,True,45730.09496978624,0.0,-45730.09496978624
2025-07-03,RLQR,p10,868.0055268144133,0.0,868.0055268144133,0.0,-868.0055268144133,1074.952344576291,0.0,0.0,110.52889879759252,0.0,False,False,True,46598.10049660065,0.0,-46598.10049660065
2025-07-04,RLQR,p10,3219.5340199033694,0.0,3219.5340199033694,0.0,-3219.5340199033694,-71.00900000000001,0.0,3320.9803358524296,118.83907495938892,0.0,False,False,True,49817.63451650402,0.0,-49817.63451650402
2025-07-05,RLQR,p10,3234.3487521929455,0.0,3234.3487521929455,0.0,-3234.3487521929455,383.789,0.0,0.0,3018.765233250538,0.0,False,False,True,53051.98326869696,0.0,-53051.98326869696
2025-07-06,RLQR,p10,2388.653769908519,0.0,2388.653769908519,0.0,-2388.653769908519,320.26599999999996,0.0,278.0139965896607,1936.6251662832387,0.0,False,False,True,55440.63703860548,0.0,-55440.63703860548
2025-07-07,RLQR,p10,-46.900067007931625,0.0,-46.900067007931625,0.0,46.900067007931625,0.0,0.0,0.0,13.522760846525822,0.0,False,False,True,55393.736971597544,0.0,-55393.736971597544
2025-07-08,RLQR,p10,3936.1632055538703,0.0,3936.1632055538703,0.0,-3936.1632055538703,0.0,0.0,4016.416317725266,0.0,0.0,False,False,True,59329.900177151416,0.0,-59329.900177151416
2025-07-09,RLQR,p10,117.97847158347962,0.0,117.97847158347962,0.0,-117.97847158347962,0.0,0.0,41.527092729671296,138.86878047565432,0.0,False,False,True,59447.8786487349,0.0,-59447.8786487349
2025-07-10,RLQR,p10,767.3687091700746,0.0,767.3687091700746,0.0,-767.3687091700746,0.0,0.0,571.7491358384679,281.1548262663726,0.0,False,False,True,60215.24735790498,0.0,-60215.24735790498
2025-07-11,RLQR,p10,-50.761821274064616,0.0,-50.761821274064616,0.0,50.761821274064616,0.0,0.0,0.2517757084163214,3.621030043264548,0.0,False,False,True,60164.48553663091,0.0,-60164.48553663091
