model,quantile,market,offered_volume_mwh,offered_capacity_mw,awarded_volume_mwh,awarded_capacity_mw,executed_volume_mwh,non_executed_volume_mwh,execution_ratio,expected_revenue_eur,realized_revenue_eur,missed_profitable_execution_eur,avoided_unprofitable_execution_eur,net_execution_effect_eur,data_status,offered_column_used,executed_column_used,realized_revenue_column_used
TFT,p50,BCM,,8.617224880382775,,0.0,,,0.0,,4993.410871047974,,,,available,bcm_bid_capacity_abs_mw_mean,bcm_realized_capacity_abs_mw_mean,bcm_capacity_revenue_eur
TFT,p50,BEM,13079.0,,,,40.82846733174376,13038.171532668257,0.003121681117191204,,75190.23666528938,,,,available,bem_bid_abs_mwh_total,bem_realized_abs_mwh_total,bem_net_revenue_eur
TFT,p70,DA,542.7,,513.1073791978764,,513.1073791978764,29.592620802123633,0.9454714929019281,,28527.16380984024,,,,available,da_bid_abs_mwh_total,da_realized_abs_mwh_total,da_net_revenue_eur
TFT,p70,ID,2.903361970561867,,2.903361970561867,,2.903361970561867,0.0,1.0,,-392.8539082367262,,,,available,id_abs_mwh_total,id_abs_mwh_total,id_net_revenue_eur
TFT,p70,BCM,,8.992481203007518,,0.0,,,0.0,,6469.324841911315,,,,available,bcm_bid_capacity_abs_mw_mean,bcm_realized_capacity_abs_mw_mean,bcm_capacity_revenue_eur
TFT,p70,BEM,13553.0,,,,42.65067989774002,13510.34932010226,0.0031469549101852,,76852.61542939671,,,,available,bem_bid_abs_mwh_total,bem_realized_abs_mwh_total,bem_net_revenue_eur
TFT,p90,DA,567.5,,548.4400335264687,,548.4400335264687,19.05996647353129,0.9664141559937774,,28863.073502895684,,,,available,da_bid_abs_mwh_total,da_realized_abs_mwh_total,da_net_revenue_eur
TFT,p90,ID,2.5154740567257483,,2.5154740567257483,,2.5154740567257483,0.0,1.0,,-340.368794615561,,,,available,id_abs_mwh_total,id_abs_mwh_total,id_net_revenue_eur
TFT,p90,BCM,,10.816814764183183,,0.0,,,0.0,,30550.558920379644,,,,available,bcm_bid_capacity_abs_mw_mean,bcm_realized_capacity_abs_mw_mean,bcm_capacity_revenue_eur
TFT,p90,BEM,16160.0,,,,54.646142582237985,16105.353857417762,0.0033815682290988854,,100202.76297840834,,,,available,bem_bid_abs_mwh_total,bem_realized_abs_mwh_total,bem_net_revenue_eur
XGB,p10,DA,331.0,,284.5248313983994,,284.5248313983994,46.475168601600615,0.8595916356447111,,17157.575016616735,,,,available,da_bid_abs_mwh_total,da_realized_abs_mwh_total,da_net_revenue_eur
XGB,p10,ID,0.0,,0.0,,0.0,0.0,,,0.0,,,,available,id_abs_mwh_total,id_abs_mwh_total,id_net_revenue_eur
XGB,p10,BCM,,6.817498291182503,,0.0,,,0.0,,14912.826968109131,,,,available,bcm_bid_capacity_abs_mw_mean,bcm_realized_capacity_abs_mw_mean,bcm_capacity_revenue_eur
XGB,p10,BEM,10679.0,,,,44.28554678508431,10634.714453214916,0.004146975071175607,,75999.27593765603,,,,available,bem_bid_abs_mwh_total,bem_realized_abs_mwh_total,bem_net_revenue_eur
XGB,p30,DA,402.0,,354.22105088163363,,354.22105088163363,47.77894911836637,0.8811468927403822,,18185.163972738417,,,,available,da_bid_abs_mwh_total,da_realized_abs_mwh_total,da_net_revenue_eur
