feature,train_nan_pct,action
wind_onshore_forecast_da_entsoe_h1,0.0,keep
wind_onshore_forecast_da_entsoe_h12,0.0,keep
wind_onshore_forecast_da_entsoe_h2,0.0,keep
wind_onshore_forecast_da_entsoe_h24,0.0,keep
wind_onshore_forecast_da_entsoe_h3,0.0,keep
wind_onshore_forecast_da_entsoe_h6,0.0,keep
wind_onshore_forecast_da_entsoe_next24_max,0.0,keep
wind_onshore_forecast_da_entsoe_next24_mean,0.0,keep
wind_onshore_forecast_da_entsoe_next24_min,0.0,keep
wind_onshore_forecast_da_entsoe_next24_ramp,0.0,keep
wind_onshore_forecast_da_entsoe_next24_std,0.0,keep
wind_onshore_forecast_delta,0.0,keep
wind_onshore_mae_rolling_72h,0.0,keep
wind_ramp,0.0,keep
wind_total_forecast_update,0.0,keep
